address,buy_count,Quantity
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,40,703409846.4772999
0xc6cde7c39eb2f0f0095f41570af89efc2c1ea828,31,2140000000.0
0x2aed748d96253cf3a50d175a31d5ef0a6bebc8b8,18,0.5310000000000001
0x742d35cc6634c0532925a3b844bc454e4438f44e,11,309362213.849999
0xf9b4b3ad5ae1325579660959a39be343c4135027,11,21201631.7
0x6465349f1a53ba0097d9aac3f6ef293bdd10cae1,8,15000000.0
0x0feeb28897fa93dc86098bdb4aa14b6fba07cd18,7,5599700.0
0xa910f92acdaf488fa6ef02174fb86208ad7722ba,6,80000000.0
0x51b259676e313ee4aa30fd52d4711154c2e1c5e7,4,2300000.0
0x0eebbb51cdee449fcfa9ed497c028a6f6080d962,3,11551400.0
0x5293551532ceadde07c58651be8b06df7521b91f,2,504653.0
0x564286362092d8e7936f0549571a803b203aaced,1,999000.0
0x3731eb1a418b9dd8d58c43b687ed004a0b12fc67,1,180.0
0x0d0707963952f2fba59dd06f2b425ace40b492fe,1,500000.0
0x008024771614f4290696b63ba3dd3a1ceb34d4d9,1,5000.0
0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b,1,555419.02
0x568cc6eca34d56f5695b16ff0250dfa77f247c47,1,12000000.0
